"name","link","category_link"
"KRK ROKIT 6 (3rd Gen) Powered Studio Monitor (Pair)","/prod/RP6G3PR/KRK-ROKIT-6-(3rd-Gen)-Powered-Studio-Monitor-(Pair).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"KRK ROKIT 5 (3rd Gen) Powered Studio Monitor (Pair)","/prod/RP5G3PR/KRK-ROKIT-5-(3rd-Gen)-Powered-Studio-Monitor-(Pair).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"KRK ROKIT 4 (3rd Gen) Powered Studio Monitor (Pair)","/prod/RP4G3PR/KRK-ROKIT-4-(3rd-Gen)-Powered-Studio-Monitor-(Pair).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"KRK ROKIT 6 (3rd Gen) Powered Studio Monitor (Single)","/prod/RP6G3/KRK-ROKIT-6-(3rd-Gen)-Powered-Studio-Monitor-(Single).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"KRK ROKIT 5 (3rd Gen) Powered Studio Monitor (Single)","/prod/RP5G3/KRK-ROKIT-5-(3rd-Gen)-Powered-Studio-Monitor-(Single).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"KRK ROKIT 4 (3rd Gen) Powered Studio Monitor (single)","/prod/RP4G3/KRK-ROKIT-4-(3rd-Gen)-Powered-Studio-Monitor-(single).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"KRK ROKIT 4 Studio Monitor (White)","/prod/RP4G3W/KRK-ROKIT-4-Studio-Monitor-(White).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"Cerwin-Vega XD4 2-way Powered Desktop Speakers","/prod/XD4/Cerwin-Vega-XD4-2-way-Powered-Desktop-Speakers.aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"KRK ROKIT 5 (2nd Gen) Powered Studio Monitor (All-white Edition) (Single)","/prod/RP5G2WN/KRK-ROKIT-5-(2nd-Gen)-Powered-Studio-Monitor-(All-white-Edition)-(Single).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
"Behringer B2030A Truth 6"" Active 2-Way Studio Monitors (Pair)","/prod/BEB2030A/Behringer-B2030A-Truth-6-Active-2-Way-Studio-Monitors-(Pair).aspx","http://www.allansbillyhyde.com.au/prodcat/Music-Tech_Recording-and-DJ/Studio-Monitors/Powered-Monitors.aspx"
