"name","link","category_link"
"Taylor GS Mini Electric/Acoustic (Koa)","/prod/GSMINI-E-KOA/Taylor-GS-Mini-Electric_Acoustic-(Koa).aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Gibson Slingshot Guitar Strap","/prod/ASSS-BLK/Gibson-Slingshot-Guitar-Strap.aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Gibson ES-335 Studio 2016 Memphis Semi-Hollow Electric Guitar (Wine Red)","/prod/ESSD16WRNH1/Gibson-ES-335-Studio-2016-Memphis-Semi-Hollow-Electric-Guitar-(Wine-Red).aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Mesa Boogie 6L6 GC STR-440 Valve –Pair","/prod/6L6GC STR440 PAIR/Mesa-Boogie-6L6-GC-STR-440-Valve-–Pair.aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Mesa Boogie EL84/6BQ5 Russian Valve - Pair","/prod/EL84-6BQ5/Mesa-Boogie-EL84_6BQ5-Russian-Valve---Pair.aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Mesa Boogie EL34 STR-447 Valve - (Matched Pair)","/prod/EL34-STR447/Mesa-Boogie-EL34-STR-447-Valve---(Matched-Pair).aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Sterling Cutlass Electric Guitar (Seafoam Green)","/prod/CT50-SG/Sterling-Cutlass-Electric-Guitar-(Seafoam-Green).aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Sterling Cutlass Electric Guitar (Olympic White)","/prod/CT50-OW/Sterling-Cutlass-Electric-Guitar-(Olympic-White).aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Sterling Cutlass Electric Guitar (Fiesta Red)","/prod/CT50-FR/Sterling-Cutlass-Electric-Guitar-(Fiesta-Red).aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
"Sterling Cutlass Electric Guitar (Black)","/prod/CT50-B/Sterling-Cutlass-Electric-Guitar-(Black).aspx","http://www.allansbillyhyde.com.au/prodcat/Guitars.aspx"
