"name","brand","sku","rrp","price","category","description","link"
"Premier APK Club Ace 20"" Drum Kit (Lunar Silver Wrap)","Premier","64299-61LSW","1499.00","1499.00","Acoustic Kits","The Premier APK Club Ace 20"" Drum Kit offers a modern and cool medium sized configuration. It provides the ideal balance of performance and style with 6-ply 100% Birch shells that are acoustically warm and resonant for easier tuning and clarity. Using all of Premier's experience, the APK is crammed full of features that includes Artist UK designed improved low-mass lugs, an excellent chrome-plated ISO mounting system and 2.3mm triple flange steel hoops. Stylish metallic sparkle wraps that will keep your drums not only sounding great plus rubber plinths under the claw hooks for added protection. APK has the look and feel you come to expect from Premier Percussion.","http://www.allansbillyhyde.com.au/prod/64299-61LSW/Premier-APK-Club-Ace-20-Drum-Kit-(Lunar-Silver-Wrap).aspx"
"Drumcraft M8 Progressive 22"" Maple Drum Kit (Cream Mocha)","Drumcraft","DC8061","3199.00","2249.00","Acoustic Kits","The Drumcraft M8 Progressive 22"" Maple Drum Kit (Cream Mocha) is part of the flagship Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Cream Mocha varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8061/Drumcraft-M8-Progressive-22-Maple-Drum-Kit-(Cream-Mocha).aspx"
"Drumcraft M8 Progressive 22"" Maple Drum Kit (Venice White)","Drumcraft","DC8059","3199.00","2249.00","Acoustic Kits","The Drumcraft M8 Progressive 22"" Maple Drum Kit (Venice White) is part of the flagship Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Venice White varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8059/Drumcraft-M8-Progressive-22-Maple-Drum-Kit-(Venice-White).aspx"
"Drumcraft M8 Fusion 22"" Maple Drum Kit (Cream Mocha)","Drumcraft","DC8057","2999.00","2099.00","Acoustic Kits","The Drumcraft M8 Fusion 22"" Maple Drum Kit (Cream Mocha) is part of the flagship Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Cream Mocha varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8057/Drumcraft-M8-Fusion-22-Maple-Drum-Kit-(Cream-Mocha).aspx"
"Drumcraft B8 Fusion 22"" Birch Drum Kit (Cream Mocha)","Drumcraft","DC8160","2399.00","1699.00","Acoustic Kits","The Drumcraft B8 Fusion 22"" Birch Drum Kit (Cream Mocha) is part of the flagship Drumcraft line. Crafted from A-Grade South Siberian birch, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Cream Mocha varnish finish and satin chrome shell hardware the visual appearance of the B8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8160/Drumcraft-B8-Fusion-22-Birch-Drum-Kit-(Cream-Mocha).aspx"
"Premier APK Modern Rock 22 Drum Kit - Lunar Silver","Premier","64299-44LSW","1599.00","1599.00","Acoustic Kits","Experience powerful sound, response and performance at an incredible price with Premier’s AKP Modern Rock 22 Drumkit. With a modern day standard configuration, this kit is not only a great all-rounder but features toms that pack a punch, a crisp snares and a kick fit for live on-stage performances. Comprised of gorgeous tonewood  100% Birch shells, the Modern Rock 22 provides a more full-bodied tone suitable for all music genres; however, it’s not all just good looks! The APK Series is incredibly easy to set up and tune straight out of the box – making it a gigging musician’s best friend. Sporting features such as new and improved low-mass lugs, a fabulous chrome-plated ISO mounting system, rubber plinths under the claw for protection and four metallic sparkle wraps to choose from to keep your kit looking great for years to come. The Premier Modern Rock 22 competes as the right choice for quality of production, sound, and price. Get yours today thanks to Allans Billy Hyde and Premier!!!","http://www.allansbillyhyde.com.au/prod/64299-44LSW/Premier-APK-Modern-Rock-22-Drum-Kit---Lunar-Silver.aspx"
"Premier APK Club Ace 20"" Drum Kit (Solar Red Wrap)","Premier","64299-61SRW","1499.00","1499.00","Acoustic Kits","The Premier APK Club Ace 20"" Drum Kit offers a modern and cool medium sized configuration. It provides the ideal balance of performance and style with 6-ply 100% Birch shells that are acoustically warm and resonant for easier tuning and clarity. Using all of Premier's experience, the APK is crammed full of features that includes Artist UK designed improved low-mass lugs, an excellent chrome-plated ISO mounting system and 2.3mm triple flange steel hoops. Stylish metallic sparkle wraps that will keep your drums not only sounding great plus rubber plinths under the claw hooks for added protection. APK has the look and feel you come to expect from Premier Percussion.","http://www.allansbillyhyde.com.au/prod/64299-61SRW/Premier-APK-Club-Ace-20-Drum-Kit-(Solar-Red-Wrap).aspx"
"Drumcraft M8 Rock 22"" Maple Drum Kit (Electric Black)","Drumcraft","DC8065","3399.00","2399.00","Acoustic Kits","The Drumcraft M8 Rock 22"" Maple Drum Kit (Electric Black) is part of the flagship Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Electric Black varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8065/Drumcraft-M8-Rock-22-Maple-Drum-Kit-(Electric-Black).aspx"
"Drumcraft M8 Progressive 22"" Maple Drum Kit (Natural)","Drumcraft","DC8063","3199.00","2249.00","Acoustic Kits","The Drumcraft M8 Progressive 22"" Maple Drum Kit (Natural) is part of the flagship Drumcraft line. Crafted from North American Hard Rock maple, these drums scream with resonance and tone everytime they are played. The toms are equipped with Zero Gravity tom mounts preventing any contact to the shell for optimal resonance. The patented snare strainer is very stable and reacts very smoothly and all Drumcraft Series 8 are equipped with Remo USA heads that guarantee a very warm and balanced sound. Complete with an environmentally friendly, water based Natural varnish finish and satin chrome shell hardware the visual appearance of the M8 series drums is unique and sets them apart from the rest.","http://www.allansbillyhyde.com.au/prod/DC8063/Drumcraft-M8-Progressive-22-Maple-Drum-Kit-(Natural).aspx"
"Premier APK Modern Rock 22 Drum Kit - Cosmic Blue","Premier","64299-44CBW","1599.00","1599.00","Acoustic Kits","Experience powerful sound, response and performance at an incredible price with Premier’s AKP Modern Rock 22 Drumkit. With a modern day standard configuration, this kit is not only a great all-rounder but features toms that pack a punch, a crisp snares and a kick fit for live on-stage performances. Comprised of gorgeous tonewood  100% Birch shells, the Modern Rock 22 provides a more full-bodied tone suitable for all music genres; however, it’s not all just good looks! The APK Series is incredibly easy to set up and tune straight out of the box – making it a gigging musician’s best friend. Sporting features such as new and improved low-mass lugs, a fabulous chrome-plated ISO mounting system, rubber plinths under the claw for protection and four metallic sparkle wraps to choose from to keep your kit looking great for years to come. The Premier Modern Rock 22 competes as the right choice for quality of production, sound, and price. Get yours today thanks to Allans Billy Hyde and Premier!!!","http://www.allansbillyhyde.com.au/prod/64299-44CBW/Premier-APK-Modern-Rock-22-Drum-Kit---Cosmic-Blue.aspx"
