"product_name","product_link","category_link"
"Valencia TC3K 3/4 Size Classical Guitar Pack With Bag And DVD","https://www.ghmusic.com.au/valencia-tc3k.html","https://www.ghmusic.com.au/guitars?limit=all"
"Valencia TC4K 4/4 Size Classical Guitar Pack With Bag And DVD","https://www.ghmusic.com.au/valencia-tc4k.html","https://www.ghmusic.com.au/guitars?limit=all"
"Maton ""Mini Maton"" Acoustic/Electric Guitar","https://www.ghmusic.com.au/maton-mini-maton-acoustic-electric-guitar.html","https://www.ghmusic.com.au/guitars?limit=all"
"Mesa Boogie Tone Burst Pedal","https://www.ghmusic.com.au/mesa-boogie-tone-burst-pedal.html","https://www.ghmusic.com.au/guitars?limit=all"
"TC Electronic Flashback delay Pedal","https://www.ghmusic.com.au/flashback-delay.html","https://www.ghmusic.com.au/guitars?limit=all"
"Tc Electronic MojoMojo Overdrive Pedal","https://www.ghmusic.com.au/mojo-mojo-overdrive.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EXP10 Coated Acoustic Guitar Strings, 80/20, Extra Light, 10-47","https://www.ghmusic.com.au/d-addario-exp10-coated-acoustic-guitar-strings-80-20-extra-light-10-47.html","https://www.ghmusic.com.au/guitars?limit=all"
"Mono M80 Guitar Tick","https://www.ghmusic.com.au/mono-m80-guitar-tick.html","https://www.ghmusic.com.au/guitars?limit=all"
"Dunlop Phosphor Bronze Acoutic Strings Medium Light 11-52","https://www.ghmusic.com.au/dunlop-phosphor-bronze-acoutic-strings-medium-light-11-52.html","https://www.ghmusic.com.au/guitars?limit=all"
"IBANEZ AS53 Trans Black Guitar","https://www.ghmusic.com.au/as53-trans-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EXP26 Coated Phosphor Bronze Acoustic Guitar Strings, Custom Light, 11-52","https://www.ghmusic.com.au/d-addario-exp26-coated-phosphor-bronze-custom-light-11-52.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EXP16 Coated Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","https://www.ghmusic.com.au/d-addario-exp16-coated-phosphor-bronze-light-12-53.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EXP110 Coated Electric Guitar Strings, Light, 10-46","https://www.ghmusic.com.au/d-addario-exp110-coated-nickel-wound-light-10-46.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EJ15 Phosphor Bronze Acoustic Guitar Strings, Extra Light, 10-47","https://www.ghmusic.com.au/d-addario-ej15-phosphor-bronze-extra-light-10-47.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EJ17 Phosphor Bronze Acoustic Guitar Strings, Medium, 13-56","https://www.ghmusic.com.au/d-addario-ej17-phosphor-bronze-medium-13-56.html","https://www.ghmusic.com.au/guitars?limit=all"
"KORG EXP-2 EXPRESSION PEDAL","https://www.ghmusic.com.au/korg-exp-2-expression-pedal.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EJ45C Pro-Arte Composite Classical Guitar Strings, Normal Tension","https://www.ghmusic.com.au/d-addario-ej45c-pro-arte-composite-normal-tension.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EXP45 Coated Classical Guitar Strings, Normal Tension","https://www.ghmusic.com.au/d-addario-exp45-coated-normal-tension.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EJ21 Nickel Wound Electric Guitar Strings, Jazz Light, 12-52","https://www.ghmusic.com.au/d-addario-ej21-nickel-wound-jazz-light-12-52.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EJ22 Nickel Wound Electric Guitar Strings, Jazz Medium, 13-56","https://www.ghmusic.com.au/d-addario-ej22-nickel-wound-jazz-medium-13-56.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EXL120-3D Nickel Wound Electric Guitar Strings, Super Light, 9-42, 3 Sets","https://www.ghmusic.com.au/d-addario-exl120-3d-nickel-wound-super-light-9-42.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EXL110-3D Nickel Wound Electric Guitar Strings, Regular Light, 10-46, 3 Sets","https://www.ghmusic.com.au/d-addario-exl110-3d-nickel-wound-regular-light-10-46.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EJ26-3D Phosphor Bronze Acoustic Guitar Strings, Custom Light, 11-52, 3 Sets","https://www.ghmusic.com.au/d-addario-ej26-3d-phosphor-bronze-custom-light-11-52.html","https://www.ghmusic.com.au/guitars?limit=all"
"D'Addario EJ16-3D Phosphor Bronze Acoustic Guitar Strings, Light, 3 Sets","https://www.ghmusic.com.au/d-addario-ej16-3d-phosphor-bronze-light-12-53.html","https://www.ghmusic.com.au/guitars?limit=all"
"GRETSCH G5435 Electromatic Pro Jet Guitar","https://www.ghmusic.com.au/g5435-pro-jet.html","https://www.ghmusic.com.au/guitars?limit=all"
"GRETSCH G5435T Electromatic Guitar","https://www.ghmusic.com.au/g5435t-electromatic.html","https://www.ghmusic.com.au/guitars?limit=all"
