"product_name","product_link","category_name","category_url"
"GHS Fast Fret - String and Neck Lubricant","https://www.kosmic.com.au/ghs-fast-fret-string-and-neck-lubricant","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Dunlop Banjo Nickel Wound 10-23 Medium 5-String Set ","https://www.kosmic.com.au/dunlop-banjo-nickel-wound-10-23-medium-5-string-se","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ashton GS50B Guitar Stand Black","https://www.kosmic.com.au/ashton-gs50b-guitar-stand-black","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"D'Addario EJ40 11-47 Silk And Steel Nylon Guitar Strings","https://www.kosmic.com.au/daddario-ej40-11-47-silk-and-steel-nylon-guitar-st","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"D'Addario EXL110 Regular Light 10-46","https://www.kosmic.com.au/daddario-exl110-regular-light-10-46","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"D'Addario EXL116 Medium Top/Heavy Bottom 11-52 Electric Guitar Strings","https://www.kosmic.com.au/daddario-exl116-medium-top-heavy-bottom-11-52-elec","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Power Slinky 11-48 Electric Guitar Strings","https://www.kosmic.com.au/ernie-ball-power-slinky-11-48-electric-guitar-stri","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Guitar Wall Hanger","https://www.kosmic.com.au/guitar-wall-hanger","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Jim Dunlop Polish Cloth","https://www.kosmic.com.au/jim-dunlop-polish-cloth","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Planet Waves Lemon Oil","https://www.kosmic.com.au/planet-waves-lemon-oil","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"D'Addario EXL120 Super Light 9-42","https://www.kosmic.com.au/daddario-exl120-super-light-9-42","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"D'Addario EXL145 Heavy 12-54 Electric Guitar Strings","https://www.kosmic.com.au/daddario-exl145-heavy-12-54-electric-guitar-string","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Elixir Acoustic Nanoweb Phosphorous Bronze Light 12-53","https://www.kosmic.com.au/elixir-acoustic-nanoweb-phosphorous-bronze-light-1","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Guitar Polish with Cloth","https://www.kosmic.com.au/ernie-ball-guitar-polish-with-cloth","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Slinky 10-74 8-String Electric Guitar Strings","https://www.kosmic.com.au/ernie-ball-slinky-10-74-8-string-electric-guitar-s","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
