"name","link","category_link"
"Jackson Dinky JS32TQ Trans Blue","http://www.portmacguitars.com.au/jackson-dinky-js32tq-trans-blue","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez AF55 Tobacco Flat Artcore Hollowbody Electr","http://www.portmacguitars.com.au/ibanez-af55-tf.html","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez AM53 Sunburst Red Flat Artcore Hollowbody","http://www.portmacguitars.com.au/Ibanez-AM53-Sunburst-Red-Flat-Artcore-Hollowbody-Guitar","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Ibanez RG7321with Dimarzio Pickups","http://www.portmacguitars.com.au/traded-in-ibanez-rg7321with-dimarzio-pickups","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Ibanez XPT700FX in Hard Case","http://www.portmacguitars.com.au/traded-in-ibanez-xpt700fx-in-hard-case","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez AS73G Natural Artcore Electric Guitar","http://www.portmacguitars.com.au/Ibanez-AS73G-Natural-Artcore","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez ASV10A Artcore Vintage Tobacco Burst Electr","http://www.portmacguitars.com.au/Ibanez-ASV10A-Artcore-Vintage-Tobacco-Burst","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in LTD WA-600 Will Adler Signature Model in","http://www.portmacguitars.com.au/traded-in-ltd-wa-600-will-adler-signature-model-in","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Ibanez RG570 in Hard Case","http://www.portmacguitars.com.au/traded-in-ibanez-rg570-in-generic-hard-case","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Gibson LPJ in Padded Bag","http://www.portmacguitars.com.au/traded-in-gibson-lpj-in-padded-bag","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"EVH Wolfgang Standard FR","http://www.portmacguitars.com.au/evh-wolfgang-wg-standard-fr","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Jackson SLXTQ Soloist Damaged.","http://www.portmacguitars.com.au/jackson-slxtq-soloist-damaged","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"PRS SE 245 Tobacco Sunburst in Padded Bag","http://www.portmacguitars.com.au/se-245~22537","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Gretsch G5120","http://www.portmacguitars.com.au/traded-in-gretsch-g5120","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Ibanez RG920 Premium in Feather Weight C","http://www.portmacguitars.com.au/traded-in-ibanez-rg920-premium-in-feather-weight-c","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Fender Standard Strat Left-Handed Maple Black","http://www.portmacguitars.com.au/Fender-Standard-Strat-Left-Handed-Maple-Black","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Fender Standard Strat Plus Top Maple Neck Aged Che","http://www.portmacguitars.com.au/fender-standard-strat-plus-top-left-handed","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Fender Standard Strat Rosewood Lake Placid Blue","http://www.portmacguitars.com.au/Fender-Standard-Strat-Rosewood-Lake-Placid-Blue","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Fender Standard Tele Maple Neck Candy Apple Red","http://www.portmacguitars.com.au/fender-standard-tele-maple-neck-colour-candy-apple~20338","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"SE Tremonti Custom Vintage Sunburst in Padded Bag","http://www.portmacguitars.com.au/se-tremonti-custom-vintage-sunburst","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Ibanez RG652FX Prestige in Hardcase","http://www.portmacguitars.com.au/Traded-in-Ibanez-rg652fx-prestige-electric-guitar-in-hardcas","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"SE Custom 22 Semi Hollow Orange Electric Guitar in","http://www.portmacguitars.com.au/se-custom-22-semi-hollow-Orange","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"PRS SE Custom 22 Vintage Sunburst in Padded Gig Ba","http://www.portmacguitars.com.au/se-custom-22~22504","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"PRS SE Custom 24 Ebony Limited Edition","http://www.portmacguitars.com.au/prs-se-custom-24-ebony","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez RG721FM Flame Maple Premium","http://www.portmacguitars.com.au/Ibanez-RG721FM-Flame-Maple-Premium","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Jackson SL3X X Series Soloist Neon Pink","http://www.portmacguitars.com.au/jackson-sl3x-x-series-soloist-colour-neon-pink~20309","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Jackson SL3X X Series Soloist Taxi Cab Yellow","http://www.portmacguitars.com.au/jackson-sl3x-x-series-soloist-taxi-cab-yellow","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Left Handed 2012 Fender American Standar","http://www.portmacguitars.com.au/traded-in-left-handed-2012-fender-american-standar","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in LTD GH-600 Gary Holt in SKB Hard Case","http://www.portmacguitars.com.au/traded-in-ltd-gh-600-gary-holt-in-skb-hard-case","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez AF155","http://www.portmacguitars.com.au/ibanez-af155","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez RG652FX Prestige Electric Guitar in Hardcas","http://www.portmacguitars.com.au/ibanez-rg652fx-prestige.html","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Charvel Pro Mod San Dimas in Case","http://www.portmacguitars.com.au/traded-in-charvel-pro-mod-san-dimas-in-case","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez RGDIX7MPB Iron Label Surreal Blue Burst","http://www.portmacguitars.com.au/Ibanez-RGDIX7MPB-Iron-Label-Surreal-Blue-Burst","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"PRS S2 Standard 24 Vintage Mahogany Satin in Padde","http://www.portmacguitars.com.au/prs-s2-standard-24-vintage-mahogany-satin-in-padde","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez RG655 Galaxy Black Prestige in Hard Case","http://www.portmacguitars.com.au/Ibanez-RG655-Galaxy-Black-Prestige","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez RGD2127FX Prestige 7 String in Hard Case","http://www.portmacguitars.com.au/ibanez-rgd2127fx-prestige-7-string.html","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez RGIF7 Fan Fret 7-String Electric Guitar","http://www.portmacguitars.com.au/ibanez-rgif7-fan-fret-guitar.-7-string","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez LGB30 Natural George Benson Signature Elect","http://www.portmacguitars.com.au/ibanez-lgb30-natural-george-benson-signature-elect","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez  JBM20 Jake Bowen Signature Electric Guitar","http://www.portmacguitars.com.au/Ibanez-JBM20-Jake-Bowen","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez SA1060WZC Premium Ziricote Top","http://www.portmacguitars.com.au/Ibanez-SA1060WZC-Premium-Ziricote-Top","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez EKM10T in Hard Case. Eric Krasno Model.","http://www.portmacguitars.com.au/ibanez-ekm10t-in-hard-case.-eric-krasno-model","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Charvel Pro Mod San Dimas Style 1 HH FR in Rocket","http://www.portmacguitars.com.au/charvel-pro-mod-san-dimas-style-1-hh-fr-in-rocket","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Charvel Pro Mod San Dimas Style 1 HH FR in Slime G","http://www.portmacguitars.com.au/charvel-pro-mod-san-dimas-style-1-hh-fr-in-slime-g","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Ibanez PWM10 Paul Waggoner Signature Model Electri","http://www.portmacguitars.com.au/Ibanez-PWM10-Paul-Waggoner-signature-model","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Fender American Standard Strat RW Fingerboard 3 Co","http://www.portmacguitars.com.au/fender-american-standard-strat-rw-fingerboard-3-colour-sunburst-left-handed.html","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Fender American Standard Tele Rosewood Fingerboard","http://www.portmacguitars.com.au/Fender-American-Standard-Tele-Rosewood-Fingerboard-Ocean-Blue-Metallic","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"PRS S2 Vela Seafoam Green in Padded Bag","http://www.portmacguitars.com.au/prs-s2-vela-seafoam-green-in-padded-bag","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Traded-in Ibanez Jem77WDP in Premium Case","http://www.portmacguitars.com.au/traded-in-ibanez-jem77wdp-in-premium-case","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Fender ROAD WORN 60'S JAZZMASTER","http://www.portmacguitars.com.au/fender-road-worn-60s-jazzmaster-2015-model.html","http://www.portmacguitars.com.au/electric-guitar-showcase/"
"Jackson Pro Series Soloist SL2Q MAH Trans Blue","http://www.portmacguitars.com.au/jackson-pro-series-soloist-sl2q-mah-trans-blue","http://www.portmacguitars.com.au/electric-guitar-showcase/"
