"name","link","category_link"
"Ableton Push 2 Control Surface Colour LCD Display & Live 9 Intro","https://www.soundcorp.com.au/ableton-push-2-control-surface-colour-lcd-display-live-9-intro-7232","https://www.soundcorp.com.au/recording/controllers"
"Akai MPK225 25 Key USB MIDI Keyboard Controller","https://www.soundcorp.com.au/akai-mpk225-25-key-usb-midi-keyboard-controller-7734","https://www.soundcorp.com.au/recording/controllers"
"Akai MPK249 49 Key USB MIDI Keyboard Controller","https://www.soundcorp.com.au/akai-mpk249-49-key-usb-midi-keyboard-controller-7735","https://www.soundcorp.com.au/recording/controllers"
"Akai MPK261 61 Key USB MIDI Keyboard Controller","https://www.soundcorp.com.au/akai-mpk261-61-key-usb-midi-keyboard-controller-7736","https://www.soundcorp.com.au/recording/controllers"
"Akai MPKMINI2 25 Key USB MIDI Keyboard & Pad Controller","https://www.soundcorp.com.au/akai-mpkmini2-25-key-usb-midi-keyboard-pad-controller-7737","https://www.soundcorp.com.au/recording/controllers"
"Alesis V25 25 Key USB MIDI Keyboard Controller","https://www.soundcorp.com.au/alesis-v25-25-key-usb-midi-keyboard-controller-7732","https://www.soundcorp.com.au/recording/controllers"
"Alesis V49 49 Key USB MIDI Keyboard Controller","https://www.soundcorp.com.au/alesis-v49-49-key-usb-midi-keyboard-controller-7733","https://www.soundcorp.com.au/recording/controllers"
"Alesis V61 61 Key USB MIDI Keyboard Controller","https://www.soundcorp.com.au/alesis-v61-61-key-usb-midi-keyboard-controller-7731","https://www.soundcorp.com.au/recording/controllers"
"Arturia BeatStep Pad MIDI Controller Sequencer","https://www.soundcorp.com.au/arturia-beatstep-pad-midi-controller-sequencer-studio-beat-step-7111","https://www.soundcorp.com.au/recording/controllers"
"Arturia BeatStep Pro MIDI Performance Controller Sequencer","https://www.soundcorp.com.au/arturia-beatstep-pro-midi-performance-controller-sequencer-7106","https://www.soundcorp.com.au/recording/controllers"
"Arturia KeyLab 49 Note Hybrid Synth MIDI Keyboard Controller","https://www.soundcorp.com.au/arturia-keylab-49-note-hybrid-synth-midi-keyboard-controller-7231","https://www.soundcorp.com.au/recording/controllers"
"Arturia SparkLE Hybrid Drum Machine Controller Sequencer","https://www.soundcorp.com.au/arturia-sparkle-hybrid-drum-machine-controller-sequencer-6843","https://www.soundcorp.com.au/recording/controllers"
"Behringer BCF2000 Total-Recall USB/MIDI Controller","https://www.soundcorp.com.au/behringer-bcf2000-usb-midi-controller-free-shipping-6497","https://www.soundcorp.com.au/recording/controllers"
"Behringer X Touch Universal Control Surface","https://www.soundcorp.com.au/behringer-x-touch-usb-midi-interface-9-motor-faders-5916","https://www.soundcorp.com.au/recording/controllers"
"Behringer X-Touch Compact USB Midi Interface & 9 Motor Faders","https://www.soundcorp.com.au/behringer-x-touch-compact-usb-midi-interface-9-motor-faders-7501","https://www.soundcorp.com.au/recording/controllers"
"IK Multimedia iRig Blueboard Bluetooth MIDI Pedal Controller for","https://www.soundcorp.com.au/ik-multimedia-irig-blueboard-bluetooth-midi-pedal-controller-for-5925","https://www.soundcorp.com.au/recording/controllers"
"IK Multimedia iRig Keys 37 Key MIDI Keyboard for iOS, PC & Mac","https://www.soundcorp.com.au/ik-multimedia-irig-keys-37-key-midi-keyboard-for-ios-pc-mac-7420","https://www.soundcorp.com.au/recording/controllers"
"IK Multimedia iRig Keys Pro Keyboard Controller w/ Lightning for","https://www.soundcorp.com.au/ik-multimedia-irig-keys-pro-keyboard-controller-w-lightning-for-7361","https://www.soundcorp.com.au/recording/controllers"
"IK Multimedia iRig Pads Universal MIDI Groove Controller for App","https://www.soundcorp.com.au/ik-multimedia-irig-pads-universal-midi-groove-controller-for-app-7505","https://www.soundcorp.com.au/recording/controllers"
"IK Multimedia iRig Pro Digital Mic Instrument MIDI Interface","https://www.soundcorp.com.au/ik-multimedia-irig-pro-digital-mic-instrument-midi-interface-6477","https://www.soundcorp.com.au/recording/controllers"
"M-Audio M-Track QUAD MIDI USB Audio Interface + Pro Tools iLok","https://www.soundcorp.com.au/m-audio-m-track-quad-midi-usb-audio-interface-pro-tools-ilok-6399","https://www.soundcorp.com.au/recording/controllers?p=2"
"M-Audio Oxygen 49 MIDI Controller - Last One - Ex Display Model","https://www.soundcorp.com.au/m-audio-oxygen-49-midi-controller-last-one-ex-display-model-7376","https://www.soundcorp.com.au/recording/controllers?p=2"
"M-Audio Oxygen 61 USB MIDI Controller","https://www.soundcorp.com.au/m-audio-oxygen-61-usb-midi-controller-7377","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Kontrol S25 USB Controller","https://www.soundcorp.com.au/native-instruments-kontrol-s25-usb-controller-7030","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Kontrol S49 USB Controller","https://www.soundcorp.com.au/native-instruments-kontrol-s49-usb-controller-7029","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Kontrol S61 USB Controller","https://www.soundcorp.com.au/native-instruments-kontrol-s61-usb-controller-7123","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Maschine Jam Studio Production Controller","https://www.soundcorp.com.au/native-instruments-maschine-jam-studio-production-controller-7730","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Maschine MKII","https://www.soundcorp.com.au/native-instruments-maschine-mkii-7046","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Maschine MKII White","https://www.soundcorp.com.au/native-instruments-maschine-mkii-white-5424","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Maschine Studio - Black","https://www.soundcorp.com.au/native-instruments-maschine-studio-black-5758","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Traktor Kontrol D2 DJ Deck Controller","https://www.soundcorp.com.au/native-instruments-traktor-kontrol-d2-dj-deck-controller-6598","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Traktor Kontrol F1 DJ Remix Controller","https://www.soundcorp.com.au/native-instruments-traktor-kontrol-f1-dj-remix-controller-7227","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Traktor Kontrol S2 MK2 DJ Controller","https://www.soundcorp.com.au/native-instruments-traktor-kontrol-s2-mk2-dj-controller-7306","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments Traktor Kontrol S4 MK2 DJ Controller","https://www.soundcorp.com.au/native-instruments-traktor-kontrol-s4-mk2-dj-controller-7560","https://www.soundcorp.com.au/recording/controllers?p=2"
"Native Instruments TRAKTOR KONTROL S5 DJ Controller","https://www.soundcorp.com.au/native-instruments-traktor-kontrol-s5-dj-controller-6746","https://www.soundcorp.com.au/recording/controllers?p=2"
"NATIVE INSTRUMENTS Traktor Kontrol S8 DJ Controller","https://www.soundcorp.com.au/native-instruments-traktor-kontrol-s8-dj-controller-7162","https://www.soundcorp.com.au/recording/controllers?p=2"
"Novation Circuit Groove Box, Synthesizer & Drum Machine","https://www.soundcorp.com.au/novation-circuit-groove-box-synthesizer-drum-machine-5904","https://www.soundcorp.com.au/recording/controllers?p=2"
"Novation Launch Control iPad USB DJ MIDI Controller for Ableton","https://www.soundcorp.com.au/novation-launch-control-ipad-usb-dj-midi-controller-for-ableton-6402","https://www.soundcorp.com.au/recording/controllers?p=2"
"Novation LaunchKey 25MK2 USB MIDI Keyboard Controller","https://www.soundcorp.com.au/novation-launchkey-25mk2-usb-midi-keyboard-controller-7228","https://www.soundcorp.com.au/recording/controllers?p=2"
"Novation LaunchKey 49MK2 USB MIDI Keyboard Controller","https://www.soundcorp.com.au/novation-launchkey-49mk2-usb-midi-keyboard-controller-7229","https://www.soundcorp.com.au/recording/controllers?p=2"
"Novation LaunchKey 61MK2 USB MIDI Keyboard Controller","https://www.soundcorp.com.au/novation-launchkey-61mk2-usb-midi-keyboard-controller-7230","https://www.soundcorp.com.au/recording/controllers?p=3"
"Novation Launchkey Mini Mk2 USB MIDI Keyboard + Ableton for iOS","https://www.soundcorp.com.au/novation-launchkey-mini-mk2-usb-midi-keyboard-ableton-for-ios-5918","https://www.soundcorp.com.au/recording/controllers?p=3"
