"product_name","product_link","category_name","category_link"
"Yamaha DBR12 Powered 12"" PA Speaker","https://www.storedj.com.au/yamaha-dbr12-powered-12-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Yamaha DBR15 Powered 15"" PA Speaker","https://www.storedj.com.au/yamaha-dbr15-powered-15-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"JBL EON612 12"" Two-Way Powered Reinforcement Speaker","https://www.storedj.com.au/jbl-eon612-12-two-way-powered-reinforcement-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Yamaha DBR10 Powered 10"" PA Speaker","https://www.storedj.com.au/yamaha-dbr10-powered-10-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Alto TS215 15"" Truesonic 2200W Active PA Speaker Pack w/ Stands & Cables","https://www.storedj.com.au/alto-ts215-15-truesonic-2200w-active-pa-speaker-pack-w-stands-and-cables","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"JBL EON615 15"" Two-Way Powered Reinforcement Speaker","https://www.storedj.com.au/jbl-eon615-15-two-way-powered-reinforcement-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"QSC K12 12"" 2-Way Powered (1000W) ABS Portable Speaker","https://www.storedj.com.au/qsc-k12-12-2-way-powered-1000w-abs-portable-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"JBL PRX825W Dual 15"" Two-Way Full-Range PA Speaker w/ Wi-Fi","https://www.storedj.com.au/jbl-prx825w-dual-15-two-way-full-range-pa-speaker-w-wi-fi","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"JBL PRX835W 15"" Three-Way Full-Range PA Speaker w/ Wi-Fi","https://www.storedj.com.au/jbl-prx835w-15-three-way-full-range-pa-speaker-w-wi-fi","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"JBL PRX815W 15"" Two-Way Full-Range PA Speaker w/ Wi-Fi","https://www.storedj.com.au/jbl-prx815w-15-two-way-full-range-pa-speaker-w-wi-fi","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"QSC K10 10"" 2-way Powered (1000W) ABS Portable Speaker","https://www.storedj.com.au/qsc-k10-10-2-way-powered-1000w-abs-portable-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
